TF	Experiment	cellLine
ZNF766	ENCSR194IJN_2	K562
SREBF1	GSM1003617	unknown
HIF1A	GSM955978	unknown
POLR2A	GSM2571063	unknown
AR	GSM1586661	unknown
ELK4	GSM608161	unknown
HIC1	ENCSR803GYT_1	HEK293
JUNB	GSM2394416	unknown
TP53	GSM1133486	unknown
MED1	GSM1208647	unknown
CTCF	GSM2067524	unknown
GTF2B	GSM1846783	unknown
CTCF	GSM646334	unknown
BRD4	GSM2330596	unknown
YAP1	GSM1515739	unknown
POLR2A	GSM1446925	unknown
ESR1	GSM1534726	unknown
POLR2A	GSM1162755	unknown
DIDO1	ENCSR167JBG_1	K562
ZMYM3	ENCSR102KIN_1	K562
FOXA1	GSM2219863	unknown
HEY1	GSM803385	unknown
BRD4	GSM1296636	unknown
POLR2A	GSM2218642	unknown
PR	GSM1669125	unknown
CTCF	GSM822278	unknown
POLR2A	GSM1820477	unknown
CUX1	ENCSR178NTX_2	K562
ZNF24	ENCSR117WTM_2	K562
EP300	ENCSR561ZRE_2	unknown
ZNF488	ENCSR363XBR_1	HEK293
ESR1	GSM2257820	unknown
CBFB	ENCSR860UHK_1	GM12878
POLR2A	GSM2571044	unknown
TEAD1	GSM1667161	unknown
POLR2A	GSM486504	unknown
NR3C1	GSM2735382	unknown
KDM1A	GSM1844441	unknown
REST	GSM1333998	unknown
FLI1	GSM607952	unknown
ZNF263	GSM476651	unknown
BCL3	ENCSR473CRE_2	unknown
HDGF	ENCSR563YDA_1	K562
NFE2L1	ENCSR557PSD_1	unknown
RUNX1	GSM1942113	unknown
RAD21	GSM803517	unknown
GATA4	GSM2280012	unknown
CTCF	GSM1003508	unknown
WDHD1	GSM2574806	unknown
ERF	GSM2612451	unknown
ESR1	GSM2467294	unknown
SMAD3	GSM1949009	unknown
ZMYND8	GSM2171412	unknown
POLR2A	GSM1777591	unknown
NR2F6	ENCSR518WPL_2	HepG2
SUMO2	GSM1176707	unknown
EBF3	GSM2410318	unknown
REST	GSM1333994	unknown
NR3C1	GSM1858618	unknown
POLR2A	GSM1670710	unknown
RUNX1	GSM1056934	unknown
POLR2A	GSM2571051	unknown
EP300	GSM1645718	unknown
NFKB1	GSM1556335	unknown
SMC3	GSM935542	unknown
AR	GSM2427944	unknown
POLR2A	GSM1850206	unknown
RUNX1	GSM2150335	unknown
ZNF740	ENCSR737UST_2	K562
SPI1	GSM2359987	unknown
TET2	GSM1863064	unknown
FOXK1	GSM956690	unknown
POLR2A	GSM803490	unknown
BCL6	GSM898060	unknown
CTCF	ENCSR756KRS_1	suprapubic
POLR2A	GSM2304701	unknown
YY1	GSM2026776	unknown
JARID2	GSM1180134	unknown
CUX1	GSM2439240	unknown
MEF2A	GSM803379	unknown
POLR2A	GSM1249894	unknown
RELA	GSM486288	unknown
PAF1	GSM2571033	unknown
YY1	GSM2597237	unknown
REPIN1	GSM1113435	unknown
MYH11	GSM1122304	unknown
EP300	ENCSR467VXG_1	unknown
E2F1	GSM1207902	unknown
SOX2	GSM1139032	unknown
CTCF	GSM749681	unknown
ZNF362	ENCSR715QNO_2	HEK293
GABPA	GSM1861927	unknown
TBX5	GSM2280019	unknown
NR2F2	ENCSR168SMX_2	liver
POLR2A	GSM1892291	unknown
CHD1	GSM2359989	unknown
SPI1	GSM1122315	unknown
EOMES	GSM1505629	unknown
JARID2	GSM1180138	unknown
POLR2A	GSM748545	unknown
POLR2A	GSM1010817	unknown
HDAC1	GSM2302869	unknown
ESR1	GSM1523084	unknown
RAD21	GSM1240823	unknown
NRF1	GSM2574769	unknown
FOXO3	GSM2574751	unknown
RNF2	GSM1295081	unknown
ESR1	GSM798428	unknown
CD74	GSM2356332	unknown
BRD4	GSM2442774	unknown
NRF1	GSM935308	unknown
POLR2A	GSM1869150	unknown
SPI1	GSM2359986	unknown
SMAD4	GSM727561	unknown
RELA	GSM486274	unknown
POLR2A	GSM2571053	unknown
JARID2	GSM1180149	unknown
STAT3	GSM2278007	unknown
POLR2A	GSM2442783	unknown
RFX1	ENCSR041AXL_1	K562
HNF4A	GSM1535702	unknown
RXRA	GSM803341	unknown
POLR2A	GSM1654507	unknown
ESR1	GSM1295590	unknown
MAX	GSM894077	unknown
NR3C1	GSM2735380	unknown
ZFP64	GSM2026875	unknown
BRD4	GSM2330590	unknown
STAG1	GSM800624	unknown
CTCF	GSM749712	unknown
MYC	GSM2501566	unknown
TBP	GSM1341816	unknown
POLR2A	GSM1545669	unknown
POLR2A	GSM1679131	unknown
REST	GSM1290149	unknown
NR3C1	ENCSR773NQB_3	unknown
AR	GSM759659	unknown
SMARCE1	GSM2546254	unknown
ESR1	GSM798389	unknown
FOXA1	GSM2219861	unknown
FOXA1	GSM1099031	unknown
POLR2A	GSM1905391	unknown
CHD1	ENCSR360JOC_1	MCF-7
RAD21	GSM1335529	unknown
BRD4	GSM2330574	unknown
BRD4	GSM2359441	unknown
GTF2F1	GSM935501	unknown
AR	GSM1308232	unknown
FOXA1	GSM2058892	unknown
POLR2M	GSM820534	unknown
EOMES	GSM1505627	unknown
POLR2A	GSM486457	unknown
EP300	GSM1470013	unknown
NIPBL	GSM1240836	unknown
GREB1	GSM1019130	unknown
NFIA	GSM2574779	unknown
STAT3	GSM935457	unknown
POLR2A	GSM1968287	unknown
REST	GSM1333987	unknown
YY1	GSM2597226	unknown
KDM5B	GSM1003586	unknown
BRD4	GSM1975028	unknown
FOXA1	GSM2171832	unknown
POLR2A	GSM501715	unknown
FEZF1	ENCSR827NWO_2	HEK293
BRD4	GSM2359443	unknown
POLR2A	GSM1277991	unknown
JUND	GSM1010847	unknown
ESR1	GSM2747702	unknown
SOX2	GSM1198993	unknown
NR3C1	GSM1607528	unknown
TAF1	GSM1010733	unknown
RPE	GSM2865074	unknown
POLR2A	GSM486451	unknown
EP300	ENCSR841ASB_3	unknown
ZNF384	GSM1003602	unknown
RELA	GSM935527	unknown
ZNF341	ENCSR185FOY_2	HEK293
ESR1	GSM2664040	unknown
NKX2-1	GSM2665568	unknown
JUN	GSM935341	unknown
POLR2A	GSM1537297	unknown
NR3C1	GSM1684637	unknown
CTCF	GSM749704	unknown
AR	GSM1586663	unknown
MED1	GSM2802955	unknown
PIAS1	GSM2219871	unknown
HES2	ENCSR690HWX_1	unknown
BRD4	GSM2359453	unknown
POLR2A	GSM2571061	unknown
NFIC	GSM1010880	unknown
FOS	GSM935585	unknown
KLF5	GSM1505690	unknown
POLR2A	GSM1892294	unknown
DPF1	GSM2574811	unknown
POLR2A	GSM2642505	unknown
BACH2	GSM1703893	unknown
ESR1	GSM1967549	unknown
POLR2A	GSM1037522	unknown
LANA	GSM1265871	unknown
STAG1	GSM1233953	unknown
POU5F1	GSM2648933	unknown
AR	GSM1358397	unknown
CTCF	GSM2730054	unknown
CBFB	GSM1122321	unknown
TCF7L2	GSM722419	unknown
TAL1	GSM2877108	unknown
CTCF	GSM822277	unknown
HSF1	GSM951894	unknown
NR3C1	GSM2154995	unknown
CTCF	GSM2038347	unknown
CREBBP	GSM2386723	unknown
HNF4G	GSM2277167	unknown
SMARCA4	GSM2409682	unknown
ZBTB7A	GSM1010831	unknown
ZNF438	ENCSR559SSU_2	unknown
ZNF318	ENCSR352BJL_2	K562
TSHZ1	ENCSR217WRC_2	HEK293
ZMIZ1	GSM1003611	unknown
SNAI2	GSM1336152	unknown
HDGF	ENCSR145XQO_1	GM12878
ATF1	ENCSR253OON_1	HepG2
KDM2B	GSM2805881	unknown
CTCF	GSM1234144	unknown
PRKDC	GSM1340089	unknown
RUNX1T1	GSM1595965	unknown
MYC	GSM748526	unknown
ESR1	GSM1858636	unknown
CREB1	GSM1937943	unknown
NR3C1	GSM2154989	unknown
TSC22D4	ENCSR787RVK_1	K562
REST	GSM1240824	unknown
ZKSCAN1	ENCSR449UFF_2	MCF-7
GATA1	GSM651546	unknown
CTCF	GSM2316307	unknown
NEUROD1	GSM2432982	unknown
CTCF	GSM733744	unknown
CHD8	GSM1381223	unknown
E2F1	GSM1207897	unknown
POLR2A	GSM1059394	unknown
FOXA1	GSM1858657	unknown
TAL1	GSM1085400	unknown
CTCF	GSM749711	unknown
CDK8	GSM1252090	unknown
CREB1	GSM1861933	unknown
TBP	GSM935606	unknown
ZMYND8	GSM2322594	unknown
SIX2	GSM1970529	unknown
POLR2A	GSM2670976	unknown
ESR1	GSM2797090	unknown
POLR2A	GSM1038278	unknown
ESR1	GSM1669049	unknown
TFAP2A	GSM588927	unknown
ETS1	GSM2442775	unknown
BCL11B	GSM2247494	unknown
EP300	GSM1290185	unknown
NELFE	GSM1483190	unknown
MYNN	ENCSR707BNG_1	HEK293
ZBTB7A	GSM1010752	unknown
FAIRE	GSM631501	unknown
TP53	GSM1294879	unknown
BCL3	ENCSR186IQL_2	unknown
ESR1	GSM986060	unknown
REST	GSM1010869	unknown
CREBBP	GSM1239074	unknown
TCF12	GSM1010746	unknown
E2F1	GSM935484	unknown
POLR2A	GSM2064703	unknown
MED1	GSM1847373	unknown
TFAP2C	GSM889425	unknown
BRD4	GSM1252941	unknown
PR	GSM770765	unknown
ESR1	GSM1669136	unknown
CTCF	GSM822271	unknown
MAX	GSM894085	unknown
AR	GSM2058880	unknown
ESR1	GSM2970406	unknown
POLR2A	GSM1038277	unknown
RUNX1	GSM726978	unknown
POLR2A	GSM1523078	unknown
BRD2	GSM1328970	unknown
BRD4	GSM2330550	unknown
TCF12	GSM957611	unknown
CTCF	GSM2493881	unknown
CTCF	GSM1267207	unknown
SNAI2	GSM1336146	unknown
ESR1	GSM2071225	unknown
BRD4	GSM2359439	unknown
FOXA1	GSM2257824	unknown
CTCF	GSM822309	unknown
POLR2A	GSM2467771	unknown
BHLHE40	GSM935616	unknown
ZNF391	ENCSR210MET_1	HEK293
POLR2A	GSM2152021	unknown
TP63	GSM1645715	unknown
POLR2A	GSM1727103	unknown
ZNF707	GSM2466639	unknown
EMX1	GSM1327160	unknown
POLR2A	GSM1527707	unknown
MYC	GSM1231598	unknown
EZH2	GSM2574749	unknown
ELK4	GSM935590	unknown
DIDO1	ENCSR167JBG_2	K562
TCF4	GSM1975020	unknown
POLR2A	GSM2304867	unknown
HCFC1	GSM779425	unknown
FOXA1	ENCSR267DFA_1	HepG2
AR	GSM1410784	unknown
FOXA1	GSM1551466	unknown
ZNF18	GSM2026764	unknown
POLR2A	GSM1055823	unknown
SCRT2	ENCSR338DGO_2	HEK293
GATA3	GSM720422	unknown
POLR2A	GSM869309	unknown
CTCF	GSM808760	unknown
FOXA1	GSM2537230	unknown
SMAD1	GSM722425	unknown
STAG1	GSM1233932	unknown
BRD2	GSM2265636	unknown
FOXA1	GSM2537225	unknown
STAG1	GSM1234143	unknown
POLR2A	GSM1533405	unknown
POLR2A	GSM637407	unknown
SMARCB1	GSM935635	unknown
RAD21	GSM1861921	unknown
WT1	ENCSR966PJJ_2	HEK293
CTCF	GSM1647363	unknown
MYC	GSM1386343	unknown
PATZ1	ENCSR966ULI_1	HEK293
HIRA	GSM1936757	unknown
POU5F1	GSM545202	unknown
POLR2A	GSM2643546	unknown
RAD21	GSM1888556	unknown
POLR2A	GSM1164243	unknown
ETV5	GSM1208736	unknown
FOXA1	GSM1354839	unknown
PAX5	GSM803337	unknown
BRD4	GSM2359440	unknown
PPARG	GSM1443812	unknown
KDM2B	GSM1812039	unknown
PHIP	GSM2711407	unknown
YY1	GSM2026775	unknown
MYOD1	GSM2214114	unknown
POLR2A	GSM1249896	unknown
POLR2A	GSM1622633	unknown
CTCF	GSM2871000	unknown
FAIRE	GSM1026917	unknown
GATA4	GSM1505647	unknown
JMJD1C	GSM1901544	unknown
ESR1	GSM2144760	unknown
SMC3	GSM2813840	unknown
ESR1	GSM1967548	unknown
POLR2A	GSM803487	unknown
PRDM1	GSM2026748	unknown
BRD4	GSM1845137	unknown
POLR2A	GSM1192071	unknown
ZNF24	ENCSR117WTM_1	K562
AR	GSM1909088	unknown
ASH2L	GSM1489927	unknown
HLTF	ENCSR090JNM_2	K562
POLR2A	GSM2405925	unknown
POLR2A	GSM2042901	unknown
SPI1	GSM1940199	unknown
POLR2A	GSM2465109	unknown
SP1	GSM1661546	unknown
GABPA	GSM1010739	unknown
BRD4	GSM1314142	unknown
RAD21	GSM1010761	unknown
SMC1A	GSM2247251	unknown
POLR2A	GSM2405922	unknown
TRIM28	GSM700369	unknown
TP53	GSM1348340	unknown
NBN	ENCSR591EBL_1	MCF-7
JUN	GSM935278	unknown
CTCF	GSM749723	unknown
RUNX1T1	GSM585588	unknown
EP300	ENCSR610RKF_1	unknown
ZBTB33	GSM1334011	unknown
REST	ENCSR896UBV_1	HEK293
CDK9	GSM2090923	unknown
MED1	GSM1679119	unknown
CBX1	ENCSR948QLZ_2	K562
SP1	GSM2065879	unknown
AR	GSM1328952	unknown
RNF2	GSM1255433	unknown
ESR1	GSM1003731	unknown
SUMO1	GSM1012761	unknown
GATA6	GSM1250897	unknown
FOXA1	GSM1534738	unknown
USF2	ENCSR359NFW_1	K562
POLR2A	GSM891242	unknown
BCL3	ENCSR013KHB_1	unknown
CTCF	GSM808753	unknown
BRD4	GSM2330600	unknown
E2F6	GSM1010899	unknown
FOS	GSM2635307	unknown
CTCF	GSM1294054	unknown
AR	GSM1501186	unknown
USF1	GSM803426	unknown
STAT5	GSM1056922	unknown
NR3C1	GSM2519949	unknown
CTCF	GSM1505626	unknown
POLR2A	GSM2135495	unknown
GATA3	GSM2154997	unknown
JMJD1C	GSM1901549	unknown
CHD2	GSM935432	unknown
TAF1	GSM803367	unknown
FOS	GSM2635311	unknown
REST	GSM1290155	unknown
GATA2	GSM1691146	unknown
FOSL2	ENCSR775UFR_2	unknown
AR	GSM1328945	unknown
IRF1	GSM935549	unknown
ESR1	GSM2797091	unknown
JUN	GSM935614	unknown
CTCF	GSM646413	unknown
TRAF7	GSM2421988	unknown
ASCL1	GSM1187231	unknown
SMC3	GSM560343	unknown
SMARCA5	GSM1868495	unknown
CTCF	GSM2809616	unknown
MAFK	GSM935610	unknown
POLR2A	GSM1328966	unknown
MYC	GSM894058	unknown
AR	GSM2219855	unknown
VDR	GSM558632	unknown
BRD4	GSM1890740	unknown
TP53	GSM1342488	unknown
CTCF	GSM1224672	unknown
ELK1	GSM935345	unknown
EP300	ENCSR467VXG_2	unknown
GATA4	GSM1505650	unknown
POLR2A	GSM1224784	unknown
TAL1	GSM607953	unknown
TSC22D4	ENCSR787RVK_2	K562
CBFB	GSM1122322	unknown
RUNX1T1	GSM1113429	unknown
JARID2	GSM1180148	unknown
KMT2A	GSM941543	unknown
DDX20	ENCSR382AIB_2	K562
ETV1	GSM558678	unknown
MYC	GSM2267691	unknown
SUZ12	ENCSR744XTG_2	unknown
EP300	GSM2330586	unknown
POLR2A	GSM2151636	unknown
PIAS1	GSM1717864	unknown
ZNF18	ENCSR977HTH_2	HEK293
JUN	GSM2266291	unknown
AR	GSM1327872	unknown
ESR1	GSM2467305	unknown
POLR2A	GSM2304702	unknown
MYC	GSM2304873	unknown
KMT2D	GSM2264622	unknown
FOXA2	GSM1551470	unknown
POLR2A	GSM2465093	unknown
EGR1	GSM1010844	unknown
AR	GSM2086306	unknown
POLR2A	GSM1405141	unknown
HDAC2	ENCSR337NWW_1	HepG2
CTBP2	GSM935463	unknown
RBL2	GSM497492	unknown
AR	GSM1308233	unknown
ETS1	GSM1010829	unknown
MAX	GSM1010807	unknown
CTCF	GSM822297	unknown
RELA	GSM486306	unknown
YY1	GSM2026777	unknown
CDK8	GSM1893930	unknown
POLR2A	ENCSR038YKU_1	stomach
ESR1	GSM1669047	unknown
POLR2A	GSM935386	unknown
NR2F2	GSM714812	unknown
SOX13	ENCSR445ACU_2	HepG2
SMARCA4	GSM1517753	unknown
POLR2A	GSM1533408	unknown
ESR1	GSM589239	unknown
LYL1	GSM1901550	unknown
RB1	GSM1442890	unknown
FOSL2	ENCSR111ZXV_1	unknown
TRIM28	GSM1467736	unknown
AR	GSM1613312	unknown
ZNF202	GSM2466493	unknown
GATA1	GSM970257	unknown
RELA	GSM2419822	unknown
STAG1	GSM1234215	unknown
POLR2A	GSM1386344	unknown
TBX5	GSM2279985	unknown
GATA6	GSM1505658	unknown
CTCF	GSM646412	unknown
ESR1	GSM1669087	unknown
SPI1	GSM1334005	unknown
ESR1	GSM1019125	unknown
RELA	GSM2419826	unknown
MAFK	GSM1159670	unknown
BRD4	GSM1842697	unknown
MYC	GSM1907206	unknown
ZBTB1	ENCSR927UJQ_2	HEK293
SUPT5H	ENCSR894CGX_1	K562
NIPBL	GSM941219	unknown
MED1	GSM1670706	unknown
IKZF1	GSM1420199	unknown
NR3C1	ENCSR952GOL_1	unknown
BRD4	GSM2359446	unknown
GATA2	GSM1488757	unknown
POLR2A	GSM1531550	unknown
GABPA	GSM1861925	unknown
POLR2A	GSM2218625	unknown
EGR1	GSM803430	unknown
ETS1	GSM2298951	unknown
ESR1	GSM798424	unknown
MYC	GSM748551	unknown
ESR1	GSM2970409	unknown
ESR1	GSM1003714	unknown
GATAD1	GSM566155	unknown
YY1	GSM2597236	unknown
ESR1	GSM1003734	unknown
FOXA1	GSM803444	unknown
BRD4	GSM2098180	unknown
AR	GSM696842	unknown
CTCF	GSM803333	unknown
AFF1	GSM2364548	unknown
TAL1	GSM1291199	unknown
TBL1XR1	GSM935653	unknown
HDAC8	ENCSR835TCD_1	K562
ERCC6	GSM1215093	unknown
ESR1	GSM1643947	unknown
ESR1	GSM1669081	unknown
CTCF	GSM651541	unknown
YY1	GSM1010794	unknown
TRIM28	GSM700354	unknown
POLR2A	GSM1843415	unknown
YAP1	GSM1515738	unknown
DUX4	GSM837613	unknown
ESR1	GSM2648915	unknown
MEIS1	GSM940324	unknown
PR	GSM2112808	unknown
CTCF	GSM749705	unknown
FOXA1	GSM958753	unknown
TRIM28	GSM1467734	unknown
SPI1	GSM1841298	unknown
NRF1	GSM1891656	unknown
CREBBP	GSM2386721	unknown
CTCF	GSM2877985	unknown
CREB1	ENCSR331ORD_2	HepG2
MYC	GSM1054009	unknown
GATA1	GSM467647	unknown
U2AF1	GSM2559408	unknown
NIPBL	GSM2040040	unknown
REST	GSM1333995	unknown
SPI1	GSM2359982	unknown
OVOL3	ENCSR768LIO_1	HEK293
EP300	GSM1517094	unknown
ZNF264	ENCSR519HKW_2	unknown
BRD2	GSM1247825	unknown
ESR1	GSM1669140	unknown
STAT3	GSM1227212	unknown
WHSC1	GSM1003492	unknown
ZNF382	GSM2026858	unknown
ZMYM3	ENCSR848YWD_2	HepG2
SMARCC1	GSM601400	unknown
PR	GSM1669120	unknown
SOX2	GSM1505768	unknown
RUNX2	GSM2305319	unknown
BRD4	GSM1348519	unknown
SPI1	GSM1421019	unknown
ZNF692	ENCSR418MKG_1	HEK293
RUNX1	GSM1113427	unknown
POLR2A	GSM2690207	unknown
NANOG	GSM2648932	unknown
VDR	GSM558630	unknown
POLR2A	GSM2151920	unknown
FOXA1	GSM2219867	unknown
TARDBP	ENCSR033VAZ_1	K562
EP300	GSM1055812	unknown
POLR2A	ENCSR724FCJ_1	sigmoid
FOXA1	GSM2797132	unknown
ZBTB48	GSM2543152	unknown
NELFE	GSM2151671	unknown
ZNF600	ENCSR017QBI_1	HEK293
POLR2A	GSM1622637	unknown
POLR2A	GSM2642504	unknown
BRD4	GSM2330549	unknown
POLR2A	GSM971344	unknown
POLR2A	GSM2571048	unknown
STAT1	GSM1057014	unknown
FOSL2	ENCSR546KCN_1	MCF-7
ERG	GSM717395	unknown
POLR2A	GSM486461	unknown
SNAI2	GSM1336154	unknown
HBP1	ENCSR616WEG_1	HepG2
NR1H2	GSM2042844	unknown
CTCF	GSM2439225	unknown
POLR2A	GSM1679112	unknown
ZNF239	ENCSR440COG_1	HEK293
NANOG	GSM1124070	unknown
ESR1	GSM1534727	unknown
ZFP64	ENCSR592KSP_2	unknown
GMEB2	GSM1239502	unknown
SNAI2	GSM1336147	unknown
HIRA	GSM1358813	unknown
TAFII	GSM447586	unknown
BRCA1	GSM935552	unknown
PHIP	GSM2711381	unknown
MED1	GSM2802960	unknown
POLR2A	GSM1313923	unknown
POLR2A	GSM1239999	unknown
POLR2A	GSM935473	unknown
CTCF	GSM822289	unknown
SIX5	GSM803405	unknown
AR	GSM1328957	unknown
POLR2A	GSM2218643	unknown
JUND	GSM1208763	unknown
NCAPG	GSM1523059	unknown
POLR2A	GSM353623	unknown
STAT3	GSM2278001	unknown
TP63	GSM794862	unknown
MAFK	GSM935403	unknown
TFAP2C	GSM889428	unknown
ESR1	GSM2670869	unknown
MED1	GSM1537677	unknown
HEXIM1	GSM1661788	unknown
ESR1	GSM1669044	unknown
ZBTB40	ENCSR237VLT_1	K562
KMT2A	GSM2364553	unknown
NELFA	GSM2465091	unknown
DNMT3B	ENCSR156CWW_1	HepG2
POLR2A	GSM2589152	unknown
FOXA1	GSM659787	unknown
CTCF	GSM1233977	unknown
KLF4	GSM1387028	unknown
AR	GSM1164141	unknown
RAD21	GSM614613	unknown
FOXA1	GSM1534743	unknown
ESR1	GSM631463	unknown
FOS	GSM935317	unknown
FOXA1	GSM659795	unknown
CBX3	GSM830999	unknown
RUNX1	GSM722705	unknown
ESR1	GSM1858623	unknown
CTCF	GSM1022661	unknown
NR3C1	GSM2103046	unknown
POLR2A	GSM874633	unknown
EP300	GSM1249890	unknown
ESR1	GSM798403	unknown
BRD4	GSM1036401	unknown
PPARG	GSM2042860	unknown
GATA6	GSM1505662	unknown
BRD4	GSM1820931	unknown
GRHL2	GSM2970417	unknown
FLI1	GSM790211	unknown
SUMO1	GSM1012766	unknown
POLR2A	GSM2571055	unknown
EP300	GSM1290174	unknown
RUNX1	GSM2026066	unknown
ZBTB7A	GSM2771544	unknown
ELL2	GSM1405092	unknown
POLR2A	GSM2144759	unknown
POLR2A	GSM822302	unknown
EP300	ENCSR145YCX_1	unknown
EP300	GSM1669060	unknown
FOXA1	GSM1858641	unknown
MLLT1	ENCSR675LRO_1	K562
CTCF	GSM822276	unknown
POU5F1	GSM1505728	unknown
CTCF	GSM2599086	unknown
ZMYND8	GSM2029574	unknown
POLR2A	GSM2642507	unknown
RING1	GSM1295080	unknown
FOXA1	GSM2277161	unknown
IKZF1	GSM1080931	unknown
BRD4	GSM1416809	unknown
ARID1A	GSM2719738	unknown
PRDM2	ENCSR714LYA_1	HEK293
POLR2A	GSM1603221	unknown
POU5F1	GSM1705268	unknown
SUMO2	GSM1035435	unknown
SIRT1	GSM2474871	unknown
POLR2A	GSM1545672	unknown
POLR2A	GSM1727105	unknown
ESR1	GSM542547	unknown
RAD21	GSM614620	unknown
SOX2	GSM1124068	unknown
NOTCH1	GSM732903	unknown
RAD21	GSM1861922	unknown
MYC	GSM991046	unknown
ZNF382	GSM2466542	unknown
CTCF	GSM749688	unknown
BRD4	GSM1314135	unknown
POLR2A	GSM1845142	unknown
KDM2B	GSM2171650	unknown
CREB1	ENCSR331ORD_1	HepG2
AR	GSM2086299	unknown
STAG1	GSM1233913	unknown
ZNF320	GSM2466529	unknown
EP300	ENCSR260WCE_2	unknown
STAG1	GSM1233992	unknown
TP53	GSM501691	unknown
ZNF793	GSM2466666	unknown
NEUROG2	GSM1970151	unknown
RELA	GSM1566732	unknown
CTCF	GSM2809615	unknown
HSF1	GSM935626	unknown
NR3C1	GSM2095221	unknown
RARA	GSM1480739	unknown
HIF1A	GSM2257673	unknown
IRF3	GSM935570	unknown
FOSL1	ENCSR239ZLZ_2	K562
RELA	GSM1566734	unknown
MYB	GSM1519643	unknown
E2F5	ENCSR709DRM_2	K562
POLR2A	GSM2644607	unknown
POLR2A	GSM2635254	unknown
ESR1	GSM798385	unknown
PRDM1	ENCSR098YLE_2	HEK293
CEBPB	GSM791412	unknown
BRD4	GSM2265639	unknown
TOP1	GSM2058667	unknown
CREB3	ENCSR093FKD_1	K562
BCL3	ENCSR473CRE_1	unknown
LYL1	GSM1901542	unknown
ETS1	GSM1056929	unknown
MAF	GSM1859071	unknown
STAT5A	GSM671400	unknown
TAF1	GSM803450	unknown
ATF7IP	GSM697629	unknown
POLR2A	GSM1645716	unknown
EWSR1	GSM2666477	unknown
SP4	GSM2026799	unknown
ESR1	GSM1643951	unknown
HDAC2	GSM2026061	unknown
CHD1	GSM830989	unknown
AR	GSM1071287	unknown
POLR2A	GSM2058663	unknown
CTCF	GSM1234045	unknown
NCAPH2	GSM2571785	unknown
KLF4	GSM1919982	unknown
AR	GSM817350	unknown
ZFX	GSM2741763	unknown
MYC	GSM748542	unknown
SPI1	GSM1334008	unknown
YY1	ENCSR382MOM_1	liver
SP3	ENCSR141PZA_2	HEK293
GATA4	GSM2279972	unknown
POLR2A	GSM935588	unknown
RAD21	GSM1861941	unknown
BRD4	GSM2316298	unknown
TFAP2C	GSM889426	unknown
POLR2A	GSM2113516	unknown
MLLT1	ENCSR552XSN_1	GM12878
MED1	GSM2802958	unknown
POLR2A	GSM1679136	unknown
ZBTB8A	ENCSR481FEC_2	HEK293
SPI1	GSM1642766	unknown
POLR2A	GSM1527709	unknown
JUN	GSM935602	unknown
MAX	GSM935318	unknown
AEBP2	ENCSR769JRS_1	HEK293
RAD51	ENCSR524BUE_2	K562
SP1	GSM1661547	unknown
PHIP	GSM2711379	unknown
NOTCH1	GSM1537955	unknown
ATF4	GSM1684649	unknown
NR3C1	GSM1350526	unknown
ZBTB33	ENCSR516HUP_2	liver
CTCF	GSM325897	unknown
RBBP5	GSM831039	unknown
CTCF	GSM2599085	unknown
MYC	GSM894108	unknown
CEBPB	ENCSR701TCU_1	A549
SPI1	GSM1642762	unknown
CTCF	GSM1233915	unknown
ZFX	GSM1057372	unknown
SMAD2	GSM1266817	unknown
FOXA1	GSM2537227	unknown
POLR2A	GSM1679128	unknown
POLR2A	GSM2667597	unknown
POLR2A	GSM2550245	unknown
NR3C1	GSM980664	unknown
GATA2	GSM730701	unknown
CTCF	GSM1003464	unknown
NCAPG	GSM1523061	unknown
KDM1A	GSM1619041	unknown
POLR2A	GSM1494445	unknown
ESR1	GSM798398	unknown
ELK1	GSM1003620	unknown
SMARCC1	GSM2409665	unknown
KDM1A	GSM1844440	unknown
CTCF	GSM1022653	unknown
FAIRE	GSM748515	unknown
ESR1	GSM798402	unknown
POLR2A	GSM1905826	unknown
STAG1	GSM1234009	unknown
ESR1	GSM2467221	unknown
ZBTB33	GSM1334012	unknown
ZNF382	GSM2026860	unknown
ZMYM3	GSM2574786	unknown
POLR2A	GSM2913902	unknown
JUN	GSM487425	unknown
CTCF	GSM749729	unknown
POLR2A	GSM365932	unknown
AR	GSM1236926	unknown
SMC1A	GSM2493885	unknown
POLR2A	GSM1059396	unknown
LEF1	GSM1875146	unknown
RBPJ	GSM1922946	unknown
STAT5B	GSM671402	unknown
AR	GSM1071280	unknown
PR	GSM1669039	unknown
AR	GSM1527823	unknown
ESR1	GSM631486	unknown
MYC	GSM2305253	unknown
POLR2A	GSM1164245	unknown
XRN2	GSM891240	unknown
BACH1	ENCSR740NPG_2	K562
JUN	GSM2576177	unknown
ESR1	GSM798434	unknown
ZNF75D	GSM2466649	unknown
POLR2A	GSM2816761	unknown
AR	GSM1207891	unknown
SMARCC1	GSM2409683	unknown
JUN	GSM1848885	unknown
EZH2	GSM1427070	unknown
CEBPA	GSM599838	unknown
TP63	GSM1366692	unknown
ZNF264	ENCSR519HKW_1	unknown
YY1	GSM2597232	unknown
ZNF585B	ENCSR011XCI_2	HEK293
SMARCA4	GSM2740929	unknown
BCOR	ENCSR808AKZ_1	K562
POLR2A	GSM2042907	unknown
POLR2A	ENCSR031TFS_1	K562
SPI1	GSM803384	unknown
GLI4	ENCSR211PZO_1	HEK293
POLR2A	GSM894104	unknown
MORC2	GSM2789814	unknown
AR	GSM1308241	unknown
ETS2	ENCSR596IKD_2	K562
